Date,Metis ($),Stacks ($),OP Mainnet ($),Boba Network ($),Arbitrum ($),Manta Pacific ($),Mantle ($),Starknet ($),ZKFair ($)
2020-07-11,,0.14,,,,,,,
2020-07-12,,0.15,,,,,,,
2020-07-13,,0.15,,,,,,,
2020-07-14,,0.14,,,,,,,
2020-07-15,,0.14,,,,,,,
2020-07-16,,0.14,,,,,,,
2020-07-17,,0.14,,,,,,,
2020-07-18,,0.15,,,,,,,
2020-07-19,,0.15,,,,,,,
2020-07-20,,0.14,,,,,,,
2020-07-21,,0.15,,,,,,,
2020-07-22,,0.16,,,,,,,
2020-07-23,,0.17,,,,,,,
2020-07-24,,0.16,,,,,,,
2020-07-25,,0.17,,,,,,,
2020-07-26,,0.18,,,,,,,
2020-07-27,,0.17,,,,,,,
2020-07-28,,0.15,,,,,,,
2020-07-29,,0.16,,,,,,,
2020-07-30,,0.16,,,,,,,
2020-07-31,,0.16,,,,,,,
2020-08-01,,0.17,,,,,,,
2020-08-02,,0.17,,,,,,,
2020-08-03,,0.17,,,,,,,
2020-08-04,,0.18,,,,,,,
2020-08-05,,0.19,,,,,,,
2020-08-06,,0.18,,,,,,,
2020-08-07,,0.20,,,,,,,
2020-08-08,,0.21,,,,,,,
2020-08-09,,0.24,,,,,,,
2020-08-10,,0.23,,,,,,,
2020-08-11,,0.26,,,,,,,
2020-08-12,,0.25,,,,,,,
2020-08-13,,0.27,,,,,,,
2020-08-14,,0.27,,,,,,,
2020-08-15,,0.31,,,,,,,
2020-08-16,,0.29,,,,,,,
2020-08-17,,0.28,,,,,,,
2020-08-18,,0.27,,,,,,,
2020-08-19,,0.26,,,,,,,
2020-08-20,,0.24,,,,,,,
2020-08-21,,0.28,,,,,,,
2020-08-22,,0.26,,,,,,,
2020-08-23,,0.29,,,,,,,
2020-08-24,,0.30,,,,,,,
2020-08-25,,0.28,,,,,,,
2020-08-26,,0.26,,,,,,,
2020-08-27,,0.25,,,,,,,
2020-08-28,,0.25,,,,,,,
2020-08-29,,0.25,,,,,,,
2020-08-30,,0.25,,,,,,,
2020-08-31,,0.25,,,,,,,
2020-09-01,,0.25,,,,,,,
2020-09-02,,0.24,,,,,,,
2020-09-03,,0.22,,,,,,,
2020-09-04,,0.18,,,,,,,
2020-09-05,,0.19,,,,,,,
2020-09-06,,0.15,,,,,,,
2020-09-07,,0.19,,,,,,,
2020-09-08,,0.21,,,,,,,
2020-09-09,,0.22,,,,,,,
2020-09-10,,0.21,,,,,,,
2020-09-11,,0.21,,,,,,,
2020-09-12,,0.21,,,,,,,
2020-09-13,,0.23,,,,,,,
2020-09-14,,0.20,,,,,,,
2020-09-15,,0.20,,,,,,,
2020-09-16,,0.18,,,,,,,
2020-09-17,,0.20,,,,,,,
2020-09-18,,0.19,,,,,,,
2020-09-19,,0.19,,,,,,,
2020-09-20,,0.19,,,,,,,
2020-09-21,,0.20,,,,,,,
2020-09-22,,0.18,,,,,,,
2020-09-23,,0.17,,,,,,,
2020-09-24,,0.15,,,,,,,
2020-09-25,,0.17,,,,,,,
2020-09-26,,0.17,,,,,,,
2020-09-27,,0.16,,,,,,,
2020-09-28,,0.16,,,,,,,
2020-09-29,,0.15,,,,,,,
2020-09-30,,0.15,,,,,,,
2020-10-01,,0.16,,,,,,,
2020-10-02,,0.16,,,,,,,
2020-10-03,,0.15,,,,,,,
2020-10-04,,0.16,,,,,,,
2020-10-05,,0.16,,,,,,,
2020-10-06,,0.16,,,,,,,
2020-10-07,,0.14,,,,,,,
2020-10-08,,0.15,,,,,,,
2020-10-09,,0.15,,,,,,,
2020-10-10,,0.16,,,,,,,
2020-10-11,,0.16,,,,,,,
2020-10-12,,0.16,,,,,,,
2020-10-13,,0.17,,,,,,,
2020-10-14,,0.17,,,,,,,
2020-10-15,,0.17,,,,,,,
2020-10-16,,0.18,,,,,,,
2020-10-17,,0.17,,,,,,,
2020-10-18,,0.17,,,,,,,
2020-10-19,,0.17,,,,,,,
2020-10-20,,0.17,,,,,,,
2020-10-21,,0.16,,,,,,,
2020-10-22,,0.16,,,,,,,
2020-10-23,,0.16,,,,,,,
2020-10-24,,0.16,,,,,,,
2020-10-25,,0.16,,,,,,,
2020-10-26,,0.15,,,,,,,
2020-10-27,,0.15,,,,,,,
2020-10-28,,0.15,,,,,,,
2020-10-29,,0.15,,,,,,,
2020-10-30,,0.14,,,,,,,
2020-10-31,,0.15,,,,,,,
2020-11-01,,0.16,,,,,,,
2020-11-02,,0.16,,,,,,,
2020-11-03,,0.15,,,,,,,
2020-11-04,,0.15,,,,,,,
2020-11-05,,0.15,,,,,,,
2020-11-06,,0.15,,,,,,,
2020-11-07,,0.17,,,,,,,
2020-11-08,,0.17,,,,,,,
2020-11-09,,0.19,,,,,,,
2020-11-10,,0.19,,,,,,,
2020-11-11,,0.22,,,,,,,
2020-11-12,,0.20,,,,,,,
2020-11-13,,0.28,,,,,,,
2020-11-14,,0.27,,,,,,,
2020-11-15,,0.25,,,,,,,
2020-11-16,,0.24,,,,,,,
2020-11-17,,0.25,,,,,,,
2020-11-18,,0.24,,,,,,,
2020-11-19,,0.22,,,,,,,
2020-11-20,,0.21,,,,,,,
2020-11-21,,0.22,,,,,,,
2020-11-22,,0.23,,,,,,,
2020-11-23,,0.21,,,,,,,
2020-11-24,,0.23,,,,,,,
2020-11-25,,0.23,,,,,,,
2020-11-26,,0.24,,,,,,,
2020-11-27,,0.25,,,,,,,
2020-11-28,,0.24,,,,,,,
2020-11-29,,0.24,,,,,,,
2020-11-30,,0.24,,,,,,,
2020-12-01,,0.24,,,,,,,
2020-12-02,,0.24,,,,,,,
2020-12-03,,0.25,,,,,,,
2020-12-04,,0.25,,,,,,,
2020-12-05,,0.23,,,,,,,
2020-12-06,,0.23,,,,,,,
2020-12-07,,0.25,,,,,,,
2020-12-08,,0.27,,,,,,,
2020-12-09,,0.29,,,,,,,
2020-12-10,,0.28,,,,,,,
2020-12-11,,0.26,,,,,,,
2020-12-12,,0.28,,,,,,,
2020-12-13,,0.29,,,,,,,
2020-12-14,,0.32,,,,,,,
2020-12-15,,0.32,,,,,,,
2020-12-16,,0.30,,,,,,,
2020-12-17,,0.30,,,,,,,
2020-12-18,,0.30,,,,,,,
2020-12-19,,0.32,,,,,,,
2020-12-20,,0.30,,,,,,,
2020-12-21,,0.29,,,,,,,
2020-12-22,,0.28,,,,,,,
2020-12-23,,0.28,,,,,,,
2020-12-24,,0.26,,,,,,,
2020-12-25,,0.28,,,,,,,
2020-12-26,,0.30,,,,,,,
2020-12-27,,0.32,,,,,,,
2020-12-28,,0.42,,,,,,,
2020-12-29,,0.39,,,,,,,
2020-12-30,,0.41,,,,,,,
2020-12-31,,0.40,,,,,,,
2021-01-01,,0.40,,,,,,,
2021-01-02,,0.43,,,,,,,
2021-01-03,,0.45,,,,,,,
2021-01-04,,0.48,,,,,,,
2021-01-05,,0.48,,,,,,,
2021-01-06,,0.52,,,,,,,
2021-01-07,,0.52,,,,,,,
2021-01-08,,0.54,,,,,,,
2021-01-09,,0.50,,,,,,,
2021-01-10,,0.50,,,,,,,
2021-01-11,,0.48,,,,,,,
2021-01-12,,0.50,,,,,,,
2021-01-13,,0.48,,,,,,,
2021-01-14,,0.56,,,,,,,
2021-01-15,,0.51,,,,,,,
2021-01-16,,0.49,,,,,,,
2021-01-17,,0.48,,,,,,,
2021-01-18,,0.49,,,,,,,
2021-01-19,,0.49,,,,,,,
2021-01-20,,0.50,,,,,,,
2021-01-21,,0.49,,,,,,,
2021-01-22,,0.45,,,,,,,
2021-01-23,,0.48,,,,,,,
2021-01-24,,0.48,,,,,,,
2021-01-25,,0.49,,,,,,,
2021-01-26,,0.47,,,,,,,
2021-01-27,,0.47,,,,,,,
2021-01-28,,0.43,,,,,,,
2021-01-29,,0.44,,,,,,,
2021-01-30,,0.44,,,,,,,
2021-01-31,,0.43,,,,,,,
2021-02-01,,0.43,,,,,,,
2021-02-02,,0.44,,,,,,,
2021-02-03,,0.46,,,,,,,
2021-02-04,,0.46,,,,,,,
2021-02-05,,0.45,,,,,,,
2021-02-06,,0.47,,,,,,,
2021-02-07,,0.45,,,,,,,
2021-02-08,,0.47,,,,,,,
2021-02-09,,0.48,,,,,,,
2021-02-10,,0.54,,,,,,,
2021-02-11,,0.57,,,,,,,
2021-02-12,,0.64,,,,,,,
2021-02-13,,0.73,,,,,,,
2021-02-14,,0.70,,,,,,,
2021-02-15,,0.67,,,,,,,
2021-02-16,,0.69,,,,,,,
2021-02-17,,0.68,,,,,,,
2021-02-18,,0.71,,,,,,,
2021-02-19,,0.79,,,,,,,
2021-02-20,,0.84,,,,,,,
2021-02-21,,0.78,,,,,,,
2021-02-22,,0.82,,,,,,,
2021-02-23,,0.78,,,,,,,
2021-02-24,,0.84,,,,,,,
2021-02-25,,1.08,,,,,,,
2021-02-26,,1.05,,,,,,,
2021-02-27,,1.02,,,,,,,
2021-02-28,,1.01,,,,,,,
2021-03-01,,0.95,,,,,,,
2021-03-02,,0.99,,,,,,,
2021-03-03,,1.02,,,,,,,
2021-03-04,,1.05,,,,,,,
2021-03-05,,1.22,,,,,,,
2021-03-06,,1.22,,,,,,,
2021-03-07,,1.18,,,,,,,
2021-03-08,,1.20,,,,,,,
2021-03-09,,1.21,,,,,,,
2021-03-10,,1.23,,,,,,,
2021-03-11,,1.12,,,,,,,
2021-03-12,,1.10,,,,,,,
2021-03-13,,1.16,,,,,,,
2021-03-14,,1.27,,,,,,,
2021-03-15,,1.15,,,,,,,
2021-03-16,,1.12,,,,,,,
2021-03-17,,1.13,,,,,,,
2021-03-18,,1.22,,,,,,,
2021-03-19,,1.32,,,,,,,
2021-03-20,,1.37,,,,,,,
2021-03-21,,1.25,,,,,,,
2021-03-22,,1.28,,,,,,,
2021-03-23,,1.26,,,,,,,
2021-03-24,,1.27,,,,,,,
2021-03-25,,1.20,,,,,,,
2021-03-26,,1.18,,,,,,,
2021-03-27,,1.23,,,,,,,
2021-03-28,,1.26,,,,,,,
2021-03-29,,1.25,,,,,,,
2021-03-30,,1.24,,,,,,,
2021-03-31,,1.24,,,,,,,
2021-04-01,,1.22,,,,,,,
2021-04-02,,1.26,,,,,,,
2021-04-03,,1.22,,,,,,,
2021-04-04,,1.12,,,,,,,
2021-04-05,,1.16,,,,,,,
2021-04-06,,2.75,,,,,,,
2021-04-07,,1.97,,,,,,,
2021-04-08,,1.72,,,,,,,
2021-04-09,,1.91,,,,,,,
2021-04-10,,1.97,,,,,,,
2021-04-11,,1.92,,,,,,,
2021-04-12,,1.88,,,,,,,
2021-04-13,,2.08,,,,,,,
2021-04-14,,2.31,,,,,,,
2021-04-15,,2.63,,,,,,,
2021-04-16,,2.66,,,,,,,
2021-04-17,,2.37,,,,,,,
2021-04-18,,2.29,,,,,,,
2021-04-19,,1.99,,,,,,,
2021-04-20,,2.29,,,,,,,
2021-04-21,,2.45,,,,,,,
2021-04-22,,2.23,,,,,,,
2021-04-23,,2.14,,,,,,,
2021-04-24,,1.97,,,,,,,
2021-04-25,,1.77,,,,,,,
2021-04-26,,1.76,,,,,,,
2021-04-27,,2.03,,,,,,,
2021-04-28,,2.23,,,,,,,
2021-04-29,,2.24,,,,,,,
2021-04-30,,2.13,,,,,,,
2021-05-01,,2.18,,,,,,,
2021-05-02,,2.14,,,,,,,
2021-05-03,,2.08,,,,,,,
2021-05-04,,2.07,,,,,,,
2021-05-05,,2.01,,,,,,,
2021-05-06,,2.13,,,,,,,
2021-05-07,,2.02,,,,,,,
2021-05-08,,2.01,,,,,,,
2021-05-09,,2.02,,,,,,,
2021-05-10,,1.93,,,,,,,
2021-05-11,,1.74,,,,,,,
2021-05-12,,1.88,,,,,,,
2021-05-13,,1.64,,,,,,,
2021-05-14,,1.59,,,,,,,
2021-05-15,,1.68,,,,,,,
2021-05-16,,1.57,,,,,,,
2021-05-17,,1.52,,,,,,,
2021-05-18,8.03,1.36,,,,,,,
2021-05-19,8.03,1.38,,,,,,,
2021-05-20,6.45,0.93,,,,,,,
2021-05-21,5.72,1.07,,,,,,,
2021-05-22,5.02,1.00,,,,,,,
2021-05-23,5.11,0.98,,,,,,,
2021-05-24,4.03,0.92,,,,,,,
2021-05-25,4.82,1.07,,,,,,,
2021-05-26,4.63,1.02,,,,,,,
2021-05-27,5.18,1.08,,,,,,,
2021-05-28,5.35,1.11,,,,,,,
2021-05-29,4.78,0.97,,,,,,,
2021-05-30,5.22,0.97,,,,,,,
2021-05-31,5.51,0.96,,,,,,,
2021-06-01,5.68,1.00,,,,,,,
2021-06-02,4.95,0.98,,,,,,,
2021-06-03,5.80,1.01,,,,,,,
2021-06-04,5.25,1.05,,,,,,,
2021-06-05,5.26,1.02,,,,,,,
2021-06-06,5.43,0.97,,,,,,,
2021-06-07,5.31,1.00,,,,,,,
2021-06-08,5.09,0.92,,,,,,,
2021-06-09,5.20,0.91,,,,,,,
2021-06-10,5.40,0.93,,,,,,,
2021-06-11,5.06,0.92,,,,,,,
2021-06-12,5.13,0.89,,,,,,,
2021-06-13,4.77,0.84,,,,,,,
2021-06-14,4.95,0.90,,,,,,,
2021-06-15,4.97,0.90,,,,,,,
2021-06-16,4.92,0.89,,,,,,,
2021-06-17,4.76,0.93,,,,,,,
2021-06-18,5.56,0.90,,,,,,,
2021-06-19,5.46,0.84,,,,,,,
2021-06-20,7.35,0.83,,,,,,,
2021-06-21,6.81,0.80,,,,,,,
2021-06-22,5.25,0.60,,,,,,,
2021-06-23,5.21,0.61,,,,,,,
2021-06-24,5.46,0.65,,,,,,,
2021-06-25,5.29,0.72,,,,,,,
2021-06-26,4.87,0.65,,,,,,,
2021-06-27,4.82,0.64,,,,,,,
2021-06-28,4.95,0.69,,,,,,,
2021-06-29,6.31,0.71,,,,,,,
2021-06-30,5.81,0.75,,,,,,,
2021-07-01,5.98,0.81,,,,,,,
2021-07-02,6.43,0.77,,,,,,,
2021-07-03,6.43,0.82,,,,,,,
2021-07-04,6.73,0.85,,,,,,,
2021-07-05,7.10,0.86,,,,,,,
2021-07-06,6.99,0.82,,,,,,,
2021-07-07,7.37,0.87,,,,,,,
2021-07-08,7.07,0.99,,,,,,,
2021-07-09,7.10,1.22,,,,,,,
2021-07-10,7.25,1.20,,,,,,,
2021-07-11,7.09,1.25,,,,,,,
2021-07-12,7.20,1.36,,,,,,,
2021-07-13,6.99,1.19,,,,,,,
2021-07-14,6.71,1.19,,,,,,,
2021-07-15,5.88,1.24,,,,,,,
2021-07-16,5.72,1.25,,,,,,,
2021-07-17,5.36,1.09,,,,,,,
2021-07-18,5.25,1.04,,,,,,,
2021-07-19,5.21,1.02,,,,,,,
2021-07-20,5.56,0.92,,,,,,,
2021-07-21,5.19,0.82,,,,,,,
2021-07-22,5.35,0.97,,,,,,,
2021-07-23,5.91,1.04,,,,,,,
2021-07-24,5.75,1.18,,,,,,,
2021-07-25,5.31,1.21,,,,,,,
2021-07-26,5.19,1.20,,,,,,,
2021-07-27,5.07,1.15,,,,,,,
2021-07-28,5.12,1.16,,,,,,,
2021-07-29,4.99,1.13,,,,,,,
2021-07-30,4.94,1.15,,,,,,,
2021-07-31,5.10,1.23,,,,,,,
2021-08-01,5.10,1.28,,,,,,,
2021-08-02,4.93,1.21,,,,,,,
2021-08-03,5.05,1.26,,,,,,,
2021-08-04,5.01,1.37,,,,,,,
2021-08-05,4.95,1.37,,,,,,,
2021-08-06,5.11,1.35,,,,,,,
2021-08-07,5.39,1.35,,,,,,,
2021-08-08,5.52,1.40,,,,,,,
2021-08-09,5.50,1.29,,,,,,,
2021-08-10,6.34,1.34,,,,,,,
2021-08-11,6.13,1.41,,,,,,,
2021-08-12,6.24,1.43,,,,,,,
2021-08-13,5.78,1.35,,,,,,,
2021-08-14,4.97,1.41,,,,,,,
2021-08-15,4.51,1.43,,,,,,,
2021-08-16,4.28,1.42,,,,,,,
2021-08-17,4.15,1.50,,,,,,,
2021-08-18,4.10,1.37,,,,,,,
2021-08-19,3.99,1.37,,,,,,,
2021-08-20,4.76,1.38,,,,,,,
2021-08-21,5.20,1.43,,,,,,,
2021-08-22,7.26,1.46,,,,,,,
2021-08-23,11.19,1.44,,,,,,,
2021-08-24,11.21,1.50,,,,,,,
2021-08-25,10.87,1.43,,,,,,,
2021-08-26,12.45,1.49,,,,,,,
2021-08-27,14.21,1.38,,,,,,,
2021-08-28,16.53,1.43,,,,,,,
2021-08-29,16.17,1.42,,,,,,,
2021-08-30,16.29,1.49,,,,,,,
2021-08-31,14.76,1.42,,,,,,,
2021-09-01,17.19,1.46,,,,,,,
2021-09-02,20.93,1.51,,,,,,,
2021-09-03,23.21,1.60,,,,,,,
2021-09-04,28.08,1.65,,,,,,,
2021-09-05,29.88,1.69,,,,,,,
2021-09-06,34.30,1.68,,,,,,,
2021-09-07,54.10,1.69,,,,,,,
2021-09-08,48.16,1.38,,,,,,,
2021-09-09,52.94,1.41,,,,,,,
2021-09-10,63.58,1.45,,,,,,,
2021-09-11,47.57,1.41,,,,,,,
2021-09-12,46.98,1.41,,,,,,,
2021-09-13,48.70,1.44,,,,,,,
2021-09-14,41.79,1.55,,,,,,,
2021-09-15,48.73,1.56,,,,,,,
2021-09-16,44.70,1.57,,,,,,,
2021-09-17,44.27,1.51,,,,,,,
2021-09-18,44.69,1.45,,,,,,,
2021-09-19,39.68,1.47,,,,,,,
2021-09-20,45.55,1.41,,,,,,,
2021-09-21,35.58,1.19,,,,,,,
2021-09-22,31.22,1.21,,,,,,,
2021-09-23,39.82,1.37,,,,,,,
2021-09-24,45.06,1.43,,,,,,,
2021-09-25,40.73,1.27,,,,,,,
2021-09-26,38.18,1.25,,,,,,,
2021-09-27,38.90,1.24,,,,,,,
2021-09-28,38.35,1.20,,,,,,,
2021-09-29,34.18,1.15,,,,,,,
2021-09-30,33.32,1.14,,,,,,,
2021-10-01,34.93,1.20,,,,,,,
