Date,Arbitrum ($),zkSync Era ($),Base ($),Blast ($),OP Mainnet ($)
2022-04-19,13727.38,,,,9794.71
2022-04-20,-19051.38,,,,27850.62
2022-04-21,16952.08,,,,19652.77
2022-04-22,25939.49,,,,14218.97
2022-04-23,29748.90,,,,9107.03
2022-04-24,12759.09,,,,9038.56
2022-04-25,-8448.51,,,,14903.89
2022-04-26,9548.67,,,,19078.69
2022-04-27,16579.55,,,,16200.45
2022-04-28,10977.02,,,,12461.06
2022-04-29,14600.24,,,,14724.94
2022-04-30,16083.51,,,,17350.75
2022-05-01,106490.94,,,,253404.81
2022-05-02,38038.55,,,,16049.71
2022-05-03,25562.79,,,,13307.24
2022-05-04,20798.42,,,,18915.00
2022-05-05,22262.28,,,,23580.03
2022-05-06,35599.96,,,,16284.45
2022-05-07,16880.85,,,,9496.59
2022-05-08,16567.09,,,,9603.01
2022-05-09,-22583.22,,,,51121.13
2022-05-10,43545.98,,,,61945.12
2022-05-11,8023.10,,,,241662.84
2022-05-12,198400.26,,,,108925.30
2022-05-13,75243.32,,,,30534.25
2022-05-14,29875.08,,,,9946.71
2022-05-15,10973.27,,,,5580.39
2022-05-16,3846.92,,,,5602.26
2022-05-17,-5483.17,,,,7010.21
2022-05-18,12119.29,,,,5563.68
2022-05-19,6726.83,,,,5505.48
2022-05-20,2583.27,,,,4940.44
2022-05-21,11092.32,,,,2747.23
2022-05-22,7198.65,,,,2881.73
2022-05-23,6210.87,,,,4602.59
2022-05-24,3690.34,,,,6134.54
2022-05-25,1450.50,,,,6371.60
2022-05-26,3699.23,,,,11671.25
2022-05-27,9341.42,,,,9812.38
2022-05-28,13410.38,,,,2866.41
2022-05-29,1714.55,,,,2332.64
2022-05-30,3899.46,,,,6510.18
2022-05-31,135.97,,,,110872.88
2022-06-01,13988.34,,,,56984.76
2022-06-02,6127.94,,,,38747.42
2022-06-03,15101.76,,,,17121.36
2022-06-04,19450.05,,,,12126.39
2022-06-05,23551.34,,,,9629.72
2022-06-06,18392.28,,,,10146.28
2022-06-07,22538.30,,,,15530.33
2022-06-08,12191.52,,,,18712.78
2022-06-09,10442.73,,,,12044.59
2022-06-10,11607.83,,,,13394.78
2022-06-11,14081.59,,,,9075.62
2022-06-12,10727.51,,,,9723.94
2022-06-13,12747.94,,,,34735.63
2022-06-14,14279.97,,,,18510.63
2022-06-15,18072.49,,,,24802.02
2022-06-16,20506.79,,,,6597.40
2022-06-17,7093.16,,,,4300.76
2022-06-18,-5346.32,,,,8086.87
2022-06-19,14391.78,,,,3713.69
2022-06-20,4307.75,,,,4406.13
2022-06-21,1590.80,,,,6529.84
2022-06-22,11938.55,,,,6293.24
2022-06-23,8687.54,,,,6194.57
2022-06-24,29600.86,,,,6930.73
2022-06-25,11848.18,,,,6314.19
2022-06-26,718.27,,,,6630.94
2022-06-27,75260.56,,,,12188.60
2022-06-28,140448.94,,,,4480.17
