Date,MakerDAO ($),Ethena ($),Abracadabra.money ($),Vesta Finance ($),Origin DeFi ($),Reflexer ($),Liquity ($)
3/2/2022,229823.64,,77643.85,-5755.29,1357.63,-28541.42,-97206.77
3/3/2022,10144.07,,104905.22,-1460.74,1680.84,-10974.46,-52542.52
3/4/2022,76961.83,,96866.31,-10522.33,2373.18,-8853.86,-39742.87
3/5/2022,139914.57,,69539.51,-1090.74,1621.33,610.09,-44684.48
3/6/2022,-184047.81,,89800.36,-2023.8,1566.07,-4299.65,-31760.97
3/7/2022,294455.74,,111602.55,-1550.82,2678.63,-12314.71,-9317.75
3/8/2022,184920.86,,79251.9,124.85,1480.11,1163.11,-105204.67
3/9/2022,204485.73,,121906.03,795.74,1287.89,1162.12,-54062.61
3/10/2022,159721.51,,72590.35,-1472.41,1317.11,2162.71,-84144.34
3/11/2022,125356.81,,96875.37,-642.41,1758.1,-51.54,-63291.59
3/12/2022,118530.12,,68537.08,-137.94,978.21,1751.02,-50907.76
3/13/2022,317148.42,,100594.05,-2024.01,1136.79,-99.08,-8198.29
3/14/2022,163835.39,,95931.69,-965.65,1170.73,-1893.89,-28710.06
3/15/2022,-49806.21,,99920.6,-3909,1269.59,1260.12,7654.72
3/16/2022,179942.71,,61280.09,-1345.48,1656.1,-11514.45,-25467.36
3/17/2022,169357.82,,97123.06,-2637.8,1111.6,-315.89,-17771.96
3/18/2022,211203.04,,63736.28,-5302.17,1129.4,-157427.47,-425781.78
3/19/2022,193089.65,,113683.51,-517.98,1090.53,-174058.38,-196291.6
3/20/2022,173828.41,,67854.39,-2574.05,1105.03,-26367.15,-45900.27
3/21/2022,185769.34,,98963.99,-860.51,1796.89,-85397.23,-70147.8
3/22/2022,58233.77,,78435.98,-1428.85,947.74,-31101.99,-106248.93
3/23/2022,176175.63,,110394.95,-798.07,1077.49,-55350,-18082.12
3/24/2022,232161.22,,79163.45,19646.46,2074.15,1364.66,-21494.52
3/25/2022,155088.29,,130860.94,3762.55,1467.93,1174.01,-18855.4
3/26/2022,192964.27,,70454.37,-1161.77,1551.63,-4449.56,-18081.55
3/27/2022,200261,,102449,-1705.19,746.3,1418.31,-89127.81
3/28/2022,-283592.52,,66834.86,-251.17,1564.54,-18552,-26771.76
3/29/2022,156862.7,,114109.07,-4803.12,977.41,3003.34,-63677.47
3/30/2022,-354899.74,,84399.52,1047.85,1172.11,-23245.83,-124578.2
3/31/2022,198791.64,,195521.66,167.9,1144.31,3186.98,-35423.02
4/1/2022,-1816728.05,,61882.1,2496.88,1412.29,3787.15,-5282.52
4/2/2022,185265.02,,69395.38,419.36,12149.22,-1411.52,34835.22
4/3/2022,189033.78,,53503.83,-512.27,808.35,221.22,-82274.49
4/4/2022,-2216464.34,,81304.36,-1584.23,2423.8,791.89,-39600.91
4/5/2022,200524.9,,50164.24,-266.76,971.79,3122.37,-62817.86
4/6/2022,170495.45,,85417.26,-2513.15,922.15,-5291.89,-19853.11
4/7/2022,190387.46,,56565.16,1571.6,864.73,3745.04,-35289.14
4/8/2022,-746030.15,,71464.98,-664.7,812.63,3872.53,-127799.61
4/9/2022,90932.42,,32398.29,2510.97,958.08,3768.26,-25359.67
4/10/2022,359130.75,,36892.06,-292.5,704.54,2901.92,-39699.57
4/11/2022,696135.24,,58804.72,1358.49,834.95,1613.96,11619.48
4/12/2022,175005.9,,-31054.43,1121.18,825.58,938.81,3114.29
4/13/2022,194048.73,,44522.38,53.63,805.17,2524.77,-54639.72
4/14/2022,323886.05,,68991.86,-844.18,774.11,3476.51,-19849.83
4/15/2022,147089.31,,21502.38,1464.35,758.91,3473.42,-25633.45
4/16/2022,228968.59,,77028.91,-273.59,747.52,2506.51,-32792.13
4/17/2022,198902.47,,-108294.67,122.18,735.78,-35069.62,-61878.79
4/18/2022,823069.93,,55099.97,310.63,2427.28,3109.79,-21046.19
4/19/2022,-5375436.67,,39247.02,10592.82,714.55,-180913.85,-16026.81
4/20/2022,5051376.58,,69118.85,-1146.36,4051.66,-33608.86,2454.02
4/21/2022,185764.82,,62501.02,193.34,244.51,-20504.25,-66804.51
4/22/2022,175784.92,,56867.75,158.24,621.75,-78035.61,-2497.21
4/23/2022,121349.22,,32268.81,226.68,604.97,-1443.09,174.84
4/24/2022,242654.31,,64953,-455.42,597.55,-11976.3,-36831.47
4/25/2022,345251.13,,37710.75,2377.8,914.12,-889,-78204.35
4/26/2022,240588.49,,55875.42,1211.38,189.46,2337.2,-315.11
4/27/2022,75195.45,,30794.35,450.23,544.18,2406.15,-29935.19
4/28/2022,164437.85,,63668.06,924.69,552.72,-3709.35,4927.49
4/29/2022,-281881.33,,49614.26,-255.93,547.77,2924.73,-59141.59
4/30/2022,256763.62,,62798.4,309.5,545.87,2910.64,-25480.35
5/1/2022,-1111531.28,,29981.44,-1161.83,537.78,2873.86,-2494.31
5/2/2022,147678.06,,68007.34,884.74,529.6,1879.62,-24246.31
