Date,,,,,,,,,,,MakerDAO ($),Abracadabra.money ($),Liquity ($),Ethena ($),Origin DeFi ($),Reflexer ($),Vesta Finance ($),Angle ($)
7/8/2022,40522.69,20602.26,415.62,,2134.25,922.75,339.83,0,,,,,,,,,,
7/9/2022,18120.68,16023.46,576.92,,1998.41,904.38,54.59,0,,,,,,,,,,
7/10/2022,34979.84,3257.94,1260.56,,2173.66,898.72,4.67,0,,,,,,,,,,
7/11/2022,46294.47,16994.11,7214.68,,2235.9,897.71,2.51,0,,,,,,,,,,
7/12/2022,39105.89,2647.6,884.79,,2064.5,876.21,950.65,0,,,,,,,,,,
7/13/2022,47708.86,16856.36,2514.54,,2098.44,854.64,125.56,0,,,,,,,,,,
7/14/2022,33304.18,6484.42,948.19,,1880.88,866.07,580.94,0.03,,,,,,,,,,
7/15/2022,41189.31,15045.11,7809.79,,1704.56,863.78,78.6,0,,,,,,,,,,
7/16/2022,706844.33,14412.45,3537.68,,4240.03,856.86,844.02,0,,,,,,,,,,
7/17/2022,20227.9,16138.82,16096.8,,1384.78,875.89,101.16,0,,,,,,,,,,
7/18/2022,48711.98,6141.32,9883.88,,2565.18,887.05,1321.52,0.04,,,,,,,,,,
7/19/2022,36190.83,75433.42,6917.12,,1854.7,884.66,1868.92,0,,,,,,,,,,
7/20/2022,34461.89,4736.61,710.29,,2087.48,882.76,1599.23,0,,,,,,,,,,
7/21/2022,29116.88,18851.05,27837.44,,63320.76,882.71,452.23,0.24,,,,,,,,,,
7/22/2022,42275.37,7824.73,3388.45,,1599.45,890.39,926.83,0.03,,,,,,,,,,
7/23/2022,26731.79,24455.92,49.43,,7526,889.73,1072.92,0,,,,,,,,,,
7/24/2022,48028.51,6232.57,6980.07,,1374.99,871.33,2429.27,0,,,,,,,,,,
7/25/2022,41923.71,14908.12,2854.4,,1826.03,869.59,376.74,0.64,,,,,,,,,,
7/26/2022,48388.97,8041.36,549.33,,4677.31,849.47,12.02,0.12,,,,,,,,,,
7/27/2022,2034098,13824.13,5964.28,,4924.29,845.89,275.69,0,,,,,,,,,,
7/28/2022,43319.4,6761.35,8312.86,,1275.72,835.05,1648.02,3.69,,,,,,,,,,
7/29/2022,36086.89,16787.33,7475.41,,3138.8,835.47,1365.09,16.41,,,,,,,,,,
7/30/2022,33687.9,3875.75,659.9,,1630.47,845.35,1370.21,28.04,,,,,,,,,,
