Date,Helium ($),Worldcoin ($),The Graph ($),Pocket Network ($),Livepeer ($),Kleros ($)
4/21/2023,101951.36,,134110.09,28297.89,37781.4,297.82
4/22/2023,99463.25,,75616.4,24156.56,38481.66,0
4/23/2023,106028.67,,129043,24784.26,75302.99,45.57
4/24/2023,103481.24,,77352.73,22968.28,39114.68,0
4/25/2023,102306.51,,91468.83,21897.2,39615.34,0
4/26/2023,105633.32,,39783.35,22294.03,38224.1,0
4/27/2023,102074.54,,76162.89,23224.42,39292.36,0
4/28/2023,100514.67,,249971.37,22321.86,38468.09,0
4/29/2023,101824.63,,152425.37,22009.47,38192.25,0
4/30/2023,100753.38,,111147.78,22521.15,37706.61,0
5/1/2023,98756.38,,11503.58,21439.99,72505.16,12502.38
5/2/2023,92840.07,,131961.89,20965.91,38316.23,0
5/3/2023,91513.91,,134115.37,22558.44,38456.02,0
5/4/2023,89833.67,,135827.19,22453.54,38356.6,268.89
5/5/2023,88238.42,,20358.47,30278.63,39048.21,0
5/6/2023,87474.18,,16857.53,34502.9,36681.27,0
5/7/2023,82982.57,,121961.73,36787.21,36321.29,0
5/8/2023,82347.72,,32404.29,38844.75,32746.05,4827.36
5/9/2023,73517.31,,50254.13,27783.32,34201.78,272.48
5/10/2023,79036.4,,222954.8,24769.5,67650.46,0
5/11/2023,81896.29,,87989.84,24970.79,33505.58,658.61
5/12/2023,75647.2,,267920.59,25231.28,34242.83,219
5/13/2023,78370.58,,89909.48,25000.24,32442.33,411.91
5/14/2023,74730.27,,104324.44,23821.95,32230,0
5/15/2023,76711.67,,50357.03,23797.89,33012.17,0
5/16/2023,74015.07,,105225.99,24815.58,32731.27,0
5/17/2023,74038.62,,189380.34,18815.39,35231.07,0
5/18/2023,76248.64,,93932.97,19128.1,35835.44,0
5/19/2023,74467.41,,94403.7,16638.54,72421.03,0
5/20/2023,75756.23,,12596.95,15983.23,37002.09,0
5/21/2023,79231.97,,76026.01,15895.46,34575.05,23.9
5/22/2023,79049.41,,88379.76,15558.52,35491.76,1019.28
5/23/2023,82316.31,,116149.86,19335.34,37508.76,0
5/24/2023,84339.52,,55984.85,20555.21,37195.08,0
5/25/2023,81324.43,,57408.01,19624.73,37136.79,0
5/26/2023,80424.27,,172586.75,17554.38,36247.75,0
5/27/2023,78159.04,,57174.48,18565.96,35850.85,0
5/28/2023,78846.87,,42288.54,18471.86,75346.79,449.99
5/29/2023,79534,,171531.17,18377.87,37471,593.1
5/30/2023,78850.34,,262344.57,19868,37772.54,0
5/31/2023,78254.78,,82245.04,19891.05,36732.58,23.65
6/1/2023,76787.01,,51885.41,20502.4,37603.47,0
6/2/2023,77559.78,,46088.66,17780.35,36165.76,0
6/3/2023,80453.57,,89428.69,20095.59,38918.72,0
6/4/2023,81464.25,,107684.33,18572.07,38344.83,0
6/5/2023,83797.44,,102698.78,21792.87,34441.73,231.53
6/6/2023,78629,,17271.73,13431.69,79474.94,907.35
6/7/2023,81551.68,,251628.51,10763.99,36134.37,237.46
6/8/2023,77902.89,,177718.59,8476.77,35605.34,9.21
6/9/2023,79905.06,,113847.36,9530.49,35001.27,694.19
6/10/2023,78278.09,,18295.77,17410.87,28569.36,0
6/11/2023,70850.85,,19207.47,14442.78,28487.03,3560.19
6/12/2023,73208.06,,93312.65,15614.71,29507.61,0
6/13/2023,71270.98,,75777.99,19133.76,28999.86,687.29
6/14/2023,70700.33,,45006.73,13890.82,56826.78,0
6/15/2023,69174.33,,273429.37,20266.05,30774.15,609.61
6/16/2023,69763.98,,48607.36,24075.55,30523.71,0
6/17/2023,69774.51,,23237.12,23279.03,30983.89,73.3
6/18/2023,67572.27,,12940.14,24581.77,29961.76,0
6/19/2023,66709.7,,46812.69,26739.3,30575.27,0
6/20/2023,67053.5,,28316.53,21133.98,32310.47,203.2
6/21/2023,70751.38,,72053.15,19410.18,33818.74,72.06
6/22/2023,73139.84,,37448.69,19671.45,33181.11,0
6/23/2023,70213.08,,107449,11601.92,64788.94,0
6/24/2023,71546.51,,70794.04,11153.17,32764.92,19.17
6/25/2023,69672.51,,21550.67,9379.28,34677.69,0
6/26/2023,71502.95,,152221.07,9817.4,32603.12,0
6/27/2023,68490.55,,53991.18,12236.23,34105.54,0
6/28/2023,68423.69,,183229.22,11507.25,31967.77,0
6/29/2023,77140.56,,161951.29,10580.71,31607.63,400.21
6/30/2023,77065.46,,137452.55,12069.21,38120.52,293.67
7/1/2023,78610.14,,8059.72,26711.41,38032.58,0
7/2/2023,78159.67,,89088.24,30789.5,75269.99,276.2
7/3/2023,77298.55,,291532.85,25371.38,38419.06,0
7/4/2023,78859.29,,103383.81,23503.85,36545.27,0
