Date,Livepeer (#),Chainlink (#),Worldcoin (#),The Graph (#),Ethereum Name Service (#),Gitcoin (#),Render Network (#),UMA (#),Aragon (#),Kleros (#),Tornado Cash (#),Bounce Finance (#),Arkham (#),Instadapp (#)
2021-04-11,2551432.00,483925.00,,49557.00,,,3607.00,14200.00,7865.00,8408.00,6120.00,1985.00,,1.00
2021-04-12,2551336.00,483794.00,,49334.00,,,3607.00,14379.00,7921.00,8416.00,6141.00,1987.00,,1.00
2021-04-13,2551215.00,485860.00,,49815.00,,,3607.00,14444.00,7941.00,8441.00,6163.00,1987.00,,1.00
2021-04-14,2551123.00,487960.00,,50327.00,,,3607.00,14533.00,7985.00,8460.00,6146.00,1993.00,,1.00
2021-04-15,2551012.00,489706.00,,50538.00,,,3607.00,14580.00,8003.00,8514.00,6147.00,2000.00,,1.00
2021-04-16,2550956.00,492167.00,,50963.00,,,3606.00,14665.00,8029.00,8522.00,6166.00,2005.00,,1.00
2021-04-17,2550864.00,493992.00,,51343.00,,,3603.00,14743.00,8065.00,8551.00,6172.00,2014.00,,1.00
2021-04-18,2550802.00,496383.00,,51699.00,,,3607.00,14907.00,8108.00,8539.00,6174.00,2022.00,,1.00
2021-04-19,2550759.00,499022.00,,52100.00,,,3613.00,14884.00,8126.00,8543.00,6168.00,2017.00,,1.00
2021-04-20,2550722.00,500914.00,,52482.00,,,3627.00,14918.00,8145.00,8533.00,6150.00,2017.00,,1.00
2021-04-21,2550678.00,502122.00,,52713.00,,,3626.00,14957.00,8184.00,8527.00,6128.00,2008.00,,1.00
2021-04-22,2550626.00,503017.00,,52952.00,,,3634.00,14993.00,8201.00,8533.00,6120.00,1993.00,,1.00
2021-04-23,2550583.00,505094.00,,53212.00,,,3648.00,15010.00,8228.00,8528.00,6123.00,1996.00,,1.00
2021-04-24,2550462.00,505912.00,,53382.00,,,3655.00,15072.00,8253.00,8524.00,6139.00,2000.00,,1.00
2021-04-25,2550223.00,506684.00,,53658.00,,,3659.00,15182.00,8277.00,8521.00,6142.00,1992.00,,1.00
2021-04-26,2549988.00,508403.00,,54021.00,,,3677.00,15174.00,8319.00,8525.00,6137.00,1997.00,,1.00
2021-04-27,2549816.00,510153.00,,54407.00,,,3693.00,15176.00,8359.00,8542.00,6147.00,1993.00,,1.00
2021-04-28,2549623.00,511376.00,,54660.00,,,3806.00,14250.00,8390.00,8551.00,6146.00,1993.00,,1.00
2021-04-29,2549494.00,512253.00,,54578.00,,,3810.00,13176.00,8420.00,8556.00,6134.00,2000.00,,1.00
2021-04-30,2549282.00,512930.00,,54573.00,,,3816.00,13230.00,8452.00,8563.00,6122.00,1994.00,,1.00
2021-05-01,2548770.00,513611.00,,54697.00,,,3820.00,13220.00,8461.00,8609.00,6114.00,1981.00,,1.00
2021-05-02,2547080.00,513102.00,,54817.00,,,3829.00,13285.00,8479.00,8641.00,6121.00,1977.00,,1.00
2021-05-03,2546721.00,514791.00,,55036.00,,,3818.00,13321.00,8515.00,8683.00,6115.00,1939.00,,1.00
2021-05-04,2546520.00,516805.00,,55233.00,,,3834.00,13371.00,8518.00,8696.00,6118.00,1940.00,,1.00
2021-05-05,2546352.00,517705.00,,55494.00,,,3829.00,13458.00,8550.00,8741.00,6121.00,1946.00,,1.00
2021-05-06,2546232.00,519470.00,,55758.00,,,4009.00,13516.00,8605.00,8819.00,6129.00,1956.00,,1.00
2021-05-07,2546122.00,521968.00,,56081.00,,,4022.00,13568.00,8704.00,8834.00,6136.00,1967.00,,1.00
2021-05-08,2546054.00,523950.00,,56413.00,,,4020.00,13587.00,8747.00,8847.00,6148.00,1979.00,,1.00
2021-05-09,2546022.00,525821.00,,56637.00,,,4016.00,13607.00,8786.00,8881.00,6153.00,1983.00,,1.00
2021-05-10,2546108.00,528366.00,,56920.00,,,4013.00,13678.00,8800.00,8890.00,6147.00,2001.00,,1.00
2021-05-11,2546005.00,530052.00,,57185.00,,,4021.00,13800.00,8822.00,8888.00,6142.00,2018.00,,1.00
2021-05-12,2545976.00,529767.00,,57374.00,,1.00,4023.00,13844.00,8851.00,8881.00,6146.00,2094.00,,1.00
2021-05-13,2545934.00,528092.00,,57479.00,,1.00,4034.00,13850.00,8877.00,8877.00,6143.00,2093.00,,1.00
2021-05-14,2545901.00,529310.00,,57629.00,,1.00,4025.00,13853.00,8878.00,8886.00,6152.00,2105.00,,1.00
2021-05-15,2545825.00,529715.00,,57780.00,,1.00,4022.00,13853.00,8901.00,8879.00,6156.00,2113.00,,1.00
