Date,Lido Finance ($),Frax Ether ($),StakeWise ($),StakeStone ($),Stader ($)
2022-06-02,843013.44,,0.00,,0.00
2022-06-03,818860.21,,24483.48,,0.00
2022-06-04,829286.31,,22904.93,,0.00
2022-06-05,826652.23,,12814.71,,0.00
2022-06-06,855749.78,,12742.51,,6832.22
2022-06-07,832667.22,,12979.64,,0.00
2022-06-08,820344.40,,12252.70,,0.00
2022-06-09,822620.16,,11968.94,,0.00
2022-06-10,753108.01,,12344.85,,6584.40
2022-06-11,697593.65,,10558.26,,0.00
2022-06-12,654433.81,,10192.57,,0.00
2022-06-13,547730.95,,8334.74,,0.00
2022-06-14,545774.71,,8619.08,,0.00
2022-06-15,557565.74,,8767.45,,0.00
2022-06-16,475002.23,,7097.82,,6323.10
2022-06-17,485057.02,,7559.49,,0.00
2022-06-18,444697.89,,7091.33,,0.00
2022-06-19,498670.82,,7789.08,,0.00
2022-06-20,506619.98,,7247.84,,0.00
2022-06-21,504327.65,,7875.85,,0.00
2022-06-22,471951.63,,7198.02,,7759.67
2022-06-23,514660.57,,8135.54,,0.00
2022-06-24,556414.59,,8964.57,,0.00
2022-06-25,563445.32,,8629.90,,0.00
2022-06-26,543801.08,,9164.66,,0.00
2022-06-27,539170.38,,8724.60,,0.00
2022-06-28,517086.93,,8078.38,,6787.55
2022-06-29,497360.36,,8129.06,,0.00
2022-06-30,483954.83,,7344.82,,0.00
2022-07-01,477950.83,,0.00,,0.00
2022-07-02,484811.32,,7642.65,,0.00
2022-07-03,484258.82,,7676.30,,0.00
2022-07-04,521532.48,,8555.71,,0.00
2022-07-05,515575.07,,8145.65,,10144.18
2022-07-06,538763.86,,8326.90,,0.00
2022-07-07,567513.46,,8756.16,,0.00
2022-07-08,554485.90,,8826.97,,0.00
2022-07-09,555481.27,,8367.55,,0.00
2022-07-10,532156.75,,8374.90,,13341.54
2022-07-11,502763.99,,7908.08,,0.00
2022-07-12,470564.82,,7202.80,,0.00
2022-07-13,506247.23,,8008.14,,0.00
2022-07-14,539877.75,,8654.29,,6229.19
2022-07-15,557552.30,,9004.57,,3575.94
2022-07-16,619156.50,,9375.60,,0.00
2022-07-17,608914.51,,9113.83,,0.00
2022-07-18,723884.42,,11129.95,,0.00
2022-07-19,705356.38,,10979.61,,17947.98
2022-07-20,696242.86,,10228.68,,0.00
2022-07-21,715763.61,,11007.92,,4518.27
2022-07-22,702173.08,,10634.42,,0.00
2022-07-23,710909.54,,11192.77,,0.00
2022-07-24,732514.76,,11498.18,,0.00
2022-07-25,661114.77,,10567.18,,4312.63
2022-07-26,667063.54,,10920.19,,914.07
2022-07-27,744608.67,,11830.94,,1499.49
2022-07-28,791103.53,,12603.17,,0.00
2022-07-29,775477.75,,11820.96,,2345.11
2022-07-30,772977.58,,12333.20,,0.00
2022-07-31,768297.04,,11861.41,,0.00
2022-08-01,746913.96,,19047.17,,0.00
2022-08-02,746526.44,,11415.18,,5239.71
2022-08-03,742293.48,,0.00,,0.00
2022-08-04,734221.32,,11538.09,,0.00
2022-08-05,793643.35,,12699.12,,5367.13
2022-08-06,765383.96,,12061.00,,5253.85
2022-08-07,768881.89,,12554.91,,5389.34
2022-08-08,811091.02,,12784.36,,5413.54
2022-08-09,775004.36,,12422.37,,12531.60
2022-08-10,841461.45,,13436.89,,7993.02
2022-08-11,863066.87,,13407.57,,7876.94
2022-08-12,897244.03,,13701.95,,16561.36
2022-08-13,909221.22,,14692.79,,8787.78
2022-08-14,886173.22,,14223.37,,8858.59
2022-08-15,866465.12,,13482.12,,7781.95
2022-08-16,853015.71,,12846.40,,18900.44
2022-08-17,833781.40,,12679.34,,7942.05
2022-08-18,837393.16,,12843.73,,10061.04
2022-08-19,728102.85,,10696.68,,13307.48
2022-08-20,719139.79,,11038.89,,6166.19
2022-08-21,733576.01,,11786.05,,6463.62
2022-08-22,739238.57,,12077.28,,5804.65
2022-08-23,751578.33,,11765.26,,13847.28
