Date,Aave ($),Compound ($),Venus ($),BENQI ($),Maple Finance ($),TrueFi ($),Morpho ($),Radiant Capital ($),Goldfinch ($),BendDAO ($),Euler ($),Sonne Finance ($),Gearbox ($),Notional Finance ($),Shoebill Finance ($)
2019-06-15,,474.58,,,,,,,,,,,,,
2019-06-16,,474.19,,,,,,,,,,,,,
2019-06-17,,535.96,,,,,,,,,,,,,
2019-06-18,,577.74,,,,,,,,,,,,,
2019-06-19,,590.42,,,,,,,,,,,,,
2019-06-20,,581.03,,,,,,,,,,,,,
2019-06-21,,626.50,,,,,,,,,,,,,
2019-06-22,,650.71,,,,,,,,,,,,,
2019-06-23,,740.26,,,,,,,,,,,,,
2019-06-24,,671.63,,,,,,,,,,,,,
2019-06-25,,683.86,,,,,,,,,,,,,
2019-06-26,,729.51,,,,,,,,,,,,,
2019-06-27,,858.95,,,,,,,,,,,,,
2019-06-28,,957.29,,,,,,,,,,,,,
2019-06-29,,811.75,,,,,,,,,,,,,
2019-06-30,,814.95,,,,,,,,,,,,,
2019-07-01,,889.72,,,,,,,,,,,,,
2019-07-02,,911.15,,,,,,,,,,,,,
2019-07-03,,1613.09,,,,,,,,,,,,,
2019-07-04,,2348.84,,,,,,,,,,,,,
2019-07-05,,2468.94,,,,,,,,,,,,,
2019-07-06,,2093.37,,,,,,,,,,,,,
2019-07-07,,2115.64,,,,,,,,,,,,,
2019-07-08,,2017.10,,,,,,,,,,,,,
2019-07-09,,2123.74,,,,,,,,,,,,,
2019-07-10,,2310.83,,,,,,,,,,,,,
2019-07-11,,2461.30,,,,,,,,,,,,,
2019-07-12,,2476.02,,,,,,,,,,,,,
2019-07-13,,2504.93,,,,,,,,,,,,,
2019-07-14,,2587.34,,,,,,,,,,,,,
2019-07-15,,1635.69,,,,,,,,,,,,,
2019-07-16,,1153.72,,,,,,,,,,,,,
2019-07-17,,1158.15,,,,,,,,,,,,,
2019-07-18,,1258.46,,,,,,,,,,,,,
2019-07-19,,1340.80,,,,,,,,,,,,,
2019-07-20,,1651.04,,,,,,,,,,,,,
2019-07-21,,1658.29,,,,,,,,,,,,,
2019-07-22,,1706.07,,,,,,,,,,,,,
2019-07-23,,1748.92,,,,,,,,,,,,,
2019-07-24,,1859.37,,,,,,,,,,,,,
2019-07-25,,2173.64,,,,,,,,,,,,,
2019-07-26,,3566.42,,,,,,,,,,,,,
2019-07-27,,3018.43,,,,,,,,,,,,,
2019-07-28,,3049.02,,,,,,,,,,,,,
2019-07-29,,3237.93,,,,,,,,,,,,,
2019-07-30,,3876.65,,,,,,,,,,,,,
2019-07-31,,4568.17,,,,,,,,,,,,,
2019-08-01,,5336.51,,,,,,,,,,,,,
2019-08-02,,5614.16,,,,,,,,,,,,,
2019-08-03,,4767.98,,,,,,,,,,,,,
2019-08-04,,4656.00,,,,,,,,,,,,,
2019-08-05,,5363.32,,,,,,,,,,,,,
2019-08-06,,5900.23,,,,,,,,,,,,,
2019-08-07,,7007.79,,,,,,,,,,,,,
2019-08-08,,6809.45,,,,,,,,,,,,,
2019-08-09,,6597.07,,,,,,,,,,,,,
2019-08-10,,6712.88,,,,,,,,,,,,,
2019-08-11,,6706.81,,,,,,,,,,,,,
2019-08-12,,6629.92,,,,,,,,,,,,,
2019-08-13,,6819.17,,,,,,,,,,,,,
2019-08-14,,7088.82,,,,,,,,,,,,,
2019-08-15,,6416.80,,,,,,,,,,,,,
2019-08-16,,6335.64,,,,,,,,,,,,,
2019-08-17,,6330.68,,,,,,,,,,,,,
2019-08-18,,6324.39,,,,,,,,,,,,,
2019-08-19,,6210.14,,,,,,,,,,,,,
2019-08-20,,5967.09,,,,,,,,,,,,,
2019-08-21,,5967.13,,,,,,,,,,,,,
2019-08-22,,6037.37,,,,,,,,,,,,,
2019-08-23,,6235.09,,,,,,,,,,,,,
2019-08-24,,5945.26,,,,,,,,,,,,,
2019-08-25,,6238.58,,,,,,,,,,,,,
2019-08-26,,6314.70,,,,,,,,,,,,,
2019-08-27,,6468.83,,,,,,,,,,,,,
2019-08-28,,6725.90,,,,,,,,,,,,,
2019-08-29,,6736.46,,,,,,,,,,,,,
2019-08-30,,6399.19,,,,,,,,,,,,,
2019-08-31,,6468.85,,,,,,,,,,,,,
2019-09-01,,6028.69,,,,,,,,,,,,,
2019-09-02,,6330.85,,,,,,,,,,,,,
2019-09-03,,5904.93,,,,,,,,,,,,,
2019-09-04,,5634.52,,,,,,,,,,,,,
2019-09-05,,5759.88,,,,,,,,,,,,,
2019-09-06,,5595.14,,,,,,,,,,,,,
2019-09-07,,5325.53,,,,,,,,,,,,,
2019-09-08,,4991.99,,,,,,,,,,,,,
2019-09-09,,5086.00,,,,,,,,,,,,,
2019-09-10,,5138.65,,,,,,,,,,,,,
2019-09-11,,5266.16,,,,,,,,,,,,,
2019-09-12,,5244.60,,,,,,,,,,,,,
2019-09-13,,4942.52,,,,,,,,,,,,,
2019-09-14,,5406.41,,,,,,,,,,,,,
2019-09-15,,5294.59,,,,,,,,,,,,,
2019-09-16,,5369.64,,,,,,,,,,,,,
2019-09-17,,5408.17,,,,,,,,,,,,,
2019-09-18,,5758.66,,,,,,,,,,,,,
2019-09-19,,5828.28,,,,,,,,,,,,,
2019-09-20,,5927.77,,,,,,,,,,,,,
2019-09-21,,6081.18,,,,,,,,,,,,,
2019-09-22,,6027.02,,,,,,,,,,,,,
2019-09-23,,6271.75,,,,,,,,,,,,,
2019-09-24,,6102.37,,,,,,,,,,,,,
2019-09-25,,6177.37,,,,,,,,,,,,,
2019-09-26,,6277.28,,,,,,,,,,,,,
2019-09-27,,5695.28,,,,,,,,,,,,,
2019-09-28,,5532.38,,,,,,,,,,,,,
2019-09-29,,5313.21,,,,,,,,,,,,,
2019-09-30,,5337.59,,,,,,,,,,,,,
2019-10-01,,5505.42,,,,,,,,,,,,,
2019-10-02,,5359.86,,,,,,,,,,,,,
2019-10-03,,5323.59,,,,,,,,,,,,,
2019-10-04,,5559.96,,,,,,,,,,,,,
2019-10-05,,5104.55,,,,,,,,,,,,,
2019-10-06,,5604.29,,,,,,,,,,,,,
2019-10-07,,5739.37,,,,,,,,,,,,,
2019-10-08,,5631.26,,,,,,,,,,,,,
2019-10-09,,5308.81,,,,,,,,,,,,,
2019-10-10,,5102.90,,,,,,,,,,,,,
2019-10-11,,5240.33,,,,,,,,,,,,,
2019-10-12,,5121.83,,,,,,,,,,,,,
2019-10-13,,5211.87,,,,,,,,,,,,,
2019-10-14,,5281.75,,,,,,,,,,,,,
2019-10-15,,5415.36,,,,,,,,,,,,,
2019-10-16,,5338.49,,,,,,,,,,,,,
2019-10-17,,5411.65,,,,,,,,,,,,,
2019-10-18,,5392.12,,,,,,,,,,,,,
2019-10-19,,5109.21,,,,,,,,,,,,,
2019-10-20,,5467.51,,,,,,,,,,,,,
2019-10-21,,5135.25,,,,,,,,,,,,,
2019-10-22,,5293.12,,,,,,,,,,,,,
2019-10-23,,5631.81,,,,,,,,,,,,,
2019-10-24,,5254.32,,,,,,,,,,,,,
2019-10-25,,4884.30,,,,,,,,,,,,,
2019-10-26,,5188.60,,,,,,,,,,,,,
2019-10-27,,5153.32,,,,,,,,,,,,,
2019-10-28,,5000.83,,,,,,,,,,,,,
2019-10-29,,5007.41,,,,,,,,,,,,,
2019-10-30,,4902.04,,,,,,,,,,,,,
2019-10-31,,5068.97,,,,,,,,,,,,,
2019-11-01,,4898.52,,,,,,,,,,,,,
2019-11-02,,4808.63,,,,,,,,,,,,,
2019-11-03,,4664.66,,,,,,,,,,,,,
2019-11-04,,4575.97,,,,,,,,,,,,,
2019-11-05,,4657.65,,,,,,,,,,,,,
2019-11-06,,4569.87,,,,,,,,,,,,,
2019-11-07,,4523.73,,,,,,,,,,,,,
2019-11-08,,4793.68,,,,,,,,,,,,,
2019-11-09,,4797.59,,,,,,,,,,,,,
2019-11-10,,4601.77,,,,,,,,,,,,,
2019-11-11,,4767.57,,,,,,,,,,,,,
2019-11-12,,4780.36,,,,,,,,,,,,,
2019-11-13,,4705.49,,,,,,,,,,,,,
2019-11-14,,4744.10,,,,,,,,,,,,,
2019-11-15,,4627.48,,,,,,,,,,,,,
2019-11-16,,4647.82,,,,,,,,,,,,,
2019-11-17,,4860.23,,,,,,,,,,,,,
2019-11-18,,4641.98,,,,,,,,,,,,,
2019-11-19,,4783.93,,,,,,,,,,,,,
2019-11-20,,4777.02,,,,,,,,,,,,,
2019-11-21,,4857.27,,,,,,,,,,,,,
2019-11-22,,4500.84,,,,,,,,,,,,,
2019-11-23,,4084.12,,,,,,,,,,,,,
2019-11-24,,4380.31,,,,,,,,,,,,,
2019-11-25,,3948.40,,,,,,,,,,,,,
2019-11-26,,3818.35,,,,,,,,,,,,,
2019-11-27,,3865.85,,,,,,,,,,,,,
2019-11-28,,3899.02,,,,,,,,,,,,,
2019-11-29,,3956.61,,,,,,,,,,,,,
2019-11-30,,4021.20,,,,,,,,,,,,,
2019-12-01,,3887.79,,,,,,,,,,,,,
2019-12-02,,3987.74,,,,,,,,,,,,,
2019-12-03,,4372.58,,,,,,,,,,,,,
2019-12-04,,4175.63,,,,,,,,,,,,,
2019-12-05,,4381.15,,,,,,,,,,,,,
2019-12-06,,4430.09,,,,,,,,,,,,,
2019-12-07,,4337.42,,,,,,,,,,,,,
2019-12-08,,4333.36,,,,,,,,,,,,,
2019-12-09,,4264.97,,,,,,,,,,,,,
2019-12-10,,4313.42,,,,,,,,,,,,,
2019-12-11,,4340.84,,,,,,,,,,,,,
2019-12-12,,4252.85,,,,,,,,,,,,,
2019-12-13,,4239.66,,,,,,,,,,,,,
2019-12-14,,3928.58,,,,,,,,,,,,,
2019-12-15,,3824.54,,,,,,,,,,,,,
2019-12-16,,3859.85,,,,,,,,,,,,,
2019-12-17,,3569.68,,,,,,,,,,,,,
2019-12-18,,3467.36,,,,,,,,,,,,,
2019-12-19,,3577.12,,,,,,,,,,,,,
2019-12-20,,3748.09,,,,,,,,,,,,,
2019-12-21,,3832.94,,,,,,,,,,,,,
2019-12-22,,3865.17,,,,,,,,,,,,,
2019-12-23,,3828.90,,,,,,,,,,,,,
2019-12-24,,3908.46,,,,,,,,,,,,,
2019-12-25,,4101.37,,,,,,,,,,,,,
2019-12-26,,3810.39,,,,,,,,,,,,,
2019-12-27,,4055.09,,,,,,,,,,,,,
2019-12-28,,3988.10,,,,,,,,,,,,,
2019-12-29,,3869.91,,,,,,,,,,,,,
2019-12-30,,4032.79,,,,,,,,,,,,,
2019-12-31,,4199.22,,,,,,,,,,,,,
2020-01-01,,4096.31,,,,,,,,,,,,,
2020-01-02,,4591.36,,,,,,,,,,,,,
2020-01-03,,5277.70,,,,,,,,,,,,,
2020-01-04,,5434.34,,,,,,,,,,,,,
2020-01-05,,5367.76,,,,,,,,,,,,,
2020-01-06,,5474.38,,,,,,,,,,,,,
2020-01-07,,5469.80,,,,,,,,,,,,,
2020-01-08,,6028.81,,,,,,,,,,,,,
2020-01-09,,6291.34,,,,,,,,,,,,,
2020-01-10,,6909.07,,,,,,,,,,,,,
2020-01-11,,6924.21,,,,,,,,,,,,,
2020-01-12,,6897.28,,,,,,,,,,,,,
2020-01-13,,6958.21,,,,,,,,,,,,,
2020-01-14,,7113.91,,,,,,,,,,,,,
2020-01-15,,7361.17,,,,,,,,,,,,,
2020-01-16,,7357.30,,,,,,,,,,,,,
2020-01-17,,7104.29,,,,,,,,,,,,,
2020-01-18,,7231.73,,,,,,,,,,,,,
2020-01-19,,7278.77,,,,,,,,,,,,,
2020-01-20,,7494.06,,,,,,,,,,,,,
2020-01-21,,7657.42,,,,,,,,,,,,,
2020-01-22,,7401.55,,,,,,,,,,,,,
2020-01-23,,6497.44,,,,,,,,,,,,,
2020-01-24,,6014.57,,,,,,,,,,,,,
2020-01-25,,6005.64,,,,,,,,,,,,,
2020-01-26,,6438.17,,,,,,,,,,,,,
2020-01-27,,6999.01,,,,,,,,,,,,,
2020-01-28,,7002.11,,,,,,,,,,,,,
2020-01-29,,7222.55,,,,,,,,,,,,,
2020-01-30,,7130.21,,,,,,,,,,,,,
2020-01-31,,7357.11,,,,,,,,,,,,,
2020-02-01,,7072.31,,,,,,,,,,,,,
2020-02-02,,7119.99,,,,,,,,,,,,,
2020-02-03,,7170.80,,,,,,,,,,,,,
2020-02-04,,7543.31,,,,,,,,,,,,,
2020-02-05,,7822.56,,,,,,,,,,,,,
2020-02-06,,8190.50,,,,,,,,,,,,,
2020-02-07,,8520.25,,,,,,,,,,,,,
2020-02-08,,8479.30,,,,,,,,,,,,,
2020-02-09,,8009.93,,,,,,,,,,,,,
2020-02-10,,8161.67,,,,,,,,,,,,,
2020-02-11,,8273.69,,,,,,,,,,,,,
2020-02-12,,8297.74,,,,,,,,,,,,,
2020-02-13,,8230.29,,,,,,,,,,,,,
2020-02-14,,8342.27,,,,,,,,,,,,,
2020-02-15,,8164.01,,,,,,,,,,,,,
2020-02-16,,8600.88,,,,,,,,,,,,,
2020-02-17,,8708.30,,,,,,,,,,,,,
2020-02-18,,8727.42,,,,,,,,,,,,,
2020-02-19,,9809.76,,,,,,,,,,,,,
2020-02-20,,10382.11,,,,,,,,,,,,,
2020-02-21,,10548.34,,,,,,,,,,,,,
2020-02-22,,10983.29,,,,,,,,,,,,,
2020-02-23,,10525.96,,,,,,,,,,,,,
2020-02-24,,10291.77,,,,,,,,,,,,,
2020-02-25,,10470.98,,,,,,,,,,,,,
2020-02-26,,10432.53,,,,,,,,,,,,,
2020-02-27,,10338.95,,,,,,,,,,,,,
2020-02-28,,10703.62,,,,,,,,,,,,,
2020-02-29,,10622.10,,,,,,,,,,,,,
2020-03-01,,10576.00,,,,,,,,,,,,,
2020-03-02,,10985.28,,,,,,,,,,,,,
2020-03-03,,10758.93,,,,,,,,,,,,,
2020-03-04,,10791.25,,,,,,,,,,,,,
2020-03-05,,10989.75,,,,,,,,,,,,,
2020-03-06,,10609.98,,,,,,,,,,,,,
2020-03-07,,9708.89,,,,,,,,,,,,,
2020-03-08,,9739.58,,,,,,,,,,,,,
2020-03-09,,9318.54,,,,,,,,,,,,,
2020-03-10,,9086.98,,,,,,,,,,,,,
2020-03-11,,7952.22,,,,,,,,,,,,,
2020-03-12,,10521.52,,,,,,,,,,,,,
2020-03-13,,12504.36,,,,,,,,,,,,,
2020-03-14,,6697.09,,,,,,,,,,,,,
2020-03-15,,5196.70,,,,,,,,,,,,,
2020-03-16,,6527.76,,,,,,,,,,,,,
2020-03-17,,6379.38,,,,,,,,,,,,,
2020-03-18,,4512.44,,,,,,,,,,,,,
2020-03-19,,3383.27,,,,,,,,,,,,,
2020-03-20,,3500.45,,,,,,,,,,,,,
2020-03-21,,3047.78,,,,,,,,,,,,,
2020-03-22,,2641.16,,,,,,,,,,,,,
2020-03-23,,2613.28,,,,,,,,,,,,,
2020-03-24,,2507.53,,,,,,,,,,,,,
2020-03-25,,2521.15,,,,,,,,,,,,,
2020-03-26,,2604.52,,,,,,,,,,,,,
2020-03-27,,2704.61,,,,,,,,,,,,,
2020-03-28,,2699.88,,,,,,,,,,,,,
2020-03-29,,2760.50,,,,,,,,,,,,,
2020-03-30,,2744.36,,,,,,,,,,,,,
2020-03-31,,2683.97,,,,,,,,,,,,,
2020-04-01,,2669.39,,,,,,,,,,,,,
2020-04-02,,2662.22,,,,,,,,,,,,,
2020-04-03,,2683.65,,,,,,,,,,,,,
2020-04-04,,2612.75,,,,,,,,,,,,,
2020-04-05,,2580.30,,,,,,,,,,,,,
2020-04-06,,2124.33,,,,,,,,,,,,,
2020-04-07,,812.44,,,,,,,,,,,,,
2020-04-08,,906.52,,,,,,,,,,,,,
2020-04-09,,906.85,,,,,,,,,,,,,
2020-04-10,,918.44,,,,,,,,,,,,,
2020-04-11,,907.07,,,,,,,,,,,,,
2020-04-12,,943.88,,,,,,,,,,,,,
2020-04-13,,915.81,,,,,,,,,,,,,
2020-04-14,,921.94,,,,,,,,,,,,,
2020-04-15,,927.43,,,,,,,,,,,,,
2020-04-16,,943.68,,,,,,,,,,,,,
2020-04-17,,1077.94,,,,,,,,,,,,,
2020-04-18,,2538.44,,,,,,,,,,,,,
2020-04-19,,3565.08,,,,,,,,,,,,,
2020-04-20,,6265.35,,,,,,,,,,,,,
2020-04-21,,5227.18,,,,,,,,,,,,,
2020-04-22,,3626.85,,,,,,,,,,,,,
2020-04-23,,1582.26,,,,,,,,,,,,,
2020-04-24,,2148.27,,,,,,,,,,,,,
2020-04-25,,2327.18,,,,,,,,,,,,,
2020-04-26,,2073.54,,,,,,,,,,,,,
2020-04-27,,2024.93,,,,,,,,,,,,,
2020-04-28,,2108.93,,,,,,,,,,,,,
2020-04-29,,1942.76,,,,,,,,,,,,,
2020-04-30,,1712.27,,,,,,,,,,,,,
2020-05-01,,2649.85,,,,,,,,,,,,,
2020-05-02,,3223.99,,,,,,,,,,,,,
2020-05-03,,1367.70,,,,,,,,,,,,,
2020-05-04,,1351.30,,,,,,,,,,,,,
2020-05-05,,1339.99,,,,,,,,,,,,,
2020-05-06,,1359.13,,,,,,,,,,,,,
2020-05-07,,1366.89,,,,,,,,,,,,,
2020-05-08,,1404.95,,,,,,,,,,,,,
2020-05-09,,1357.74,,,,,,,,,,,,,
2020-05-10,,1345.27,,,,,,,,,,,,,
2020-05-11,,1231.66,,,,,,,,,,,,,
2020-05-12,,1258.69,,,,,,,,,,,,,
2020-05-13,,1338.08,,,,,,,,,,,,,
2020-05-14,,1279.94,,,,,,,,,,,,,
2020-05-15,,1279.99,,,,,,,,,,,,,
2020-05-16,,1323.50,,,,,,,,,,,,,
2020-05-17,,1315.09,,,,,,,,,,,,,
2020-05-18,,1449.98,,,,,,,,,,,,,
2020-05-19,,1489.24,,,,,,,,,,,,,
2020-05-20,,1488.26,,,,,,,,,,,,,
2020-05-21,,1482.25,,,,,,,,,,,,,
2020-05-22,,1391.64,,,,,,,,,,,,,
2020-05-23,,1313.53,,,,,,,,,,,,,
2020-05-24,,1357.43,,,,,,,,,,,,,
2020-05-25,,1475.92,,,,,,,,,,,,,
2020-05-26,,1473.06,,,,,,,,,,,,,
2020-05-27,,1428.02,,,,,,,,,,,,,
2020-05-28,,1545.88,,,,,,,,,,,,,
2020-05-29,,1644.28,,,,,,,,,,,,,
2020-05-30,,1786.47,,,,,,,,,,,,,
2020-05-31,,1807.73,,,,,,,,,,,,,
2020-06-01,,1738.88,,,,,,,,,,,,,
2020-06-02,,1776.68,,,,,,,,,,,,,
2020-06-03,,1842.98,,,,,,,,,,,,,
2020-06-04,,1610.80,,,,,,,,,,,,,
2020-06-05,,1541.07,,,,,,,,,,,,,
2020-06-06,,1520.19,,,,,,,,,,,,,
2020-06-07,,1526.62,,,,,,,,,,,,,
2020-06-08,,1543.37,,,,,,,,,,,,,
2020-06-09,,1734.54,,,,,,,,,,,,,
2020-06-10,,1733.20,,,,,,,,,,,,,
2020-06-11,,1722.18,,,,,,,,,,,,,
2020-06-12,,1557.66,,,,,,,,,,,,,
2020-06-13,,1570.85,,,,,,,,,,,,,
2020-06-14,,1833.74,,,,,,,,,,,,,
2020-06-15,,2008.10,,,,,,,,,,,,,
2020-06-16,,1592.73,,,,,,,,,,,,,
2020-06-17,,1353.14,,,,,,,,,,,,,
2020-06-18,,1270.18,,,,,,,,,,,,,
2020-06-19,,1292.70,,,,,,,,,,,,,
2020-06-20,,24875.46,,,,,,,,,,,,,
2020-06-21,,98960.73,,,,,,,,,,,,,
2020-06-22,,189850.07,,,,,,,,,,,,,
2020-06-23,,234976.31,,,,,,,,,,,,,
2020-06-24,,222199.96,,,,,,,,,,,,,
2020-06-25,,235082.61,,,,,,,,,,,,,
2020-06-26,,248781.59,,,,,,,,,,,,,
2020-06-27,,241463.76,,,,,,,,,,,,,
2020-06-28,,253318.83,,,,,,,,,,,,,
2020-06-29,,261656.02,,,,,,,,,,,,,
2020-06-30,,264178.68,,,,,,,,,,,,,
2020-07-01,,276426.63,,,,,,,,,,,,,
2020-07-02,,237670.79,,,,,,,,,,,,,
2020-07-03,,120166.28,,,,,,,,,,,,,
2020-07-04,,111068.89,,,,,,,,,,,,,
2020-07-05,,100072.36,,,,,,,,,,,,,
2020-07-06,,101603.57,,,,,,,,,,,,,
2020-07-07,,110885.84,,,,,,,,,,,,,
2020-07-08,,101780.21,,,,,,,,,,,,,
2020-07-09,,105088.47,,,,,,,,,,,,,
2020-07-10,,106921.37,,,,,,,,,,,,,
2020-07-11,,101377.67,,,,,,,,,,,,,
2020-07-12,,106425.63,,,,,,,,,,,,,
2020-07-13,,120422.48,,,,,,,,,,,,,
2020-07-14,,105977.60,,,,,,,,,,,,,
2020-07-15,,101377.95,,,,,,,,,,,,,
2020-07-16,,99628.62,,,,,,,,,,,,,
2020-07-17,,95239.75,,,,,,,,,,,,,
2020-07-18,,83333.11,,,,,,,,,,,,,
2020-07-19,,103607.33,,,,,,,,,,,,,
2020-07-20,,127650.00,,,,,,,,,,,,,
2020-07-21,,134281.44,,,,,,,,,,,,,
2020-07-22,,141824.00,,,,,,,,,,,,,
2020-07-23,,160849.79,,,,,,,,,,,,,
2020-07-24,,134185.01,,,,,,,,,,,,,
2020-07-25,,96321.12,,,,,,,,,,,,,
2020-07-26,,62161.52,,,,,,,,,,,,,
2020-07-27,,74279.02,,,,,,,,,,,,,
2020-07-28,,218386.35,,,,,,,,,,,,,
2020-07-29,,321953.03,,,,,,,,,,,,,
2020-07-30,,304121.61,,,,,,,,,,,,,
2020-07-31,,184875.49,,,,,,,,,,,,,
2020-08-01,,188084.46,,,,,,,,,,,,,
2020-08-02,,201437.26,,,,,,,,,,,,,
2020-08-03,,170117.16,,,,,,,,,,,,,
2020-08-04,,140777.59,,,,,,,,,,,,,
2020-08-05,,146408.01,,,,,,,,,,,,,
2020-08-06,,173206.17,,,,,,,,,,,,,
2020-08-07,,175765.95,,,,,,,,,,,,,
2020-08-08,,162460.13,,,,,,,,,,,,,
2020-08-09,,177248.37,,,,,,,,,,,,,
2020-08-10,,151561.37,,,,,,,,,,,,,
2020-08-11,,153550.27,,,,,,,,,,,,,
2020-08-12,,190789.46,,,,,,,,,,,,,
2020-08-13,,226149.86,,,,,,,,,,,,,
2020-08-14,,175522.30,,,,,,,,,,,,,
2020-08-15,,134328.57,,,,,,,,,,,,,
2020-08-16,,139801.84,,,,,,,,,,,,,
2020-08-17,,131395.83,,,,,,,,,,,,,
2020-08-18,,133250.39,,,,,,,,,,,,,
2020-08-19,,129547.01,,,,,,,,,,,,,
2020-08-20,,127486.66,,,,,,,,,,,,,
2020-08-21,,127229.58,,,,,,,,,,,,,
2020-08-22,,127469.43,,,,,,,,,,,,,
2020-08-23,,130951.13,,,,,,,,,,,,,
2020-08-24,,141686.37,,,,,,,,,,,,,
2020-08-25,,130713.26,,,,,,,,,,,,,
2020-08-26,,130453.25,,,,,,,,,,,,,
2020-08-27,,129219.28,,,,,,,,,,,,,
2020-08-28,,132466.51,,,,,,,,,,,,,
2020-08-29,,130862.45,,,,,,,,,,,,,
2020-08-30,,129509.87,,,,,,,,,,,,,
2020-08-31,,126048.49,,,,,,,,,,,,,
2020-09-01,,133550.39,,,,,,,,,,,,,
2020-09-02,,133315.58,,,,,,,,,,,,,
2020-09-03,,111677.39,,,,,,,,,,,,,
2020-09-04,,104032.00,,,,,,,,,,,,,
2020-09-05,,97027.39,,,,,,,,,,,,,
2020-09-06,,98512.72,,,,,,,,,,,,,
2020-09-07,,100316.78,,,,,,,,,,,,,
2020-09-08,,96615.85,,,,,,,,,,,,,
2020-09-09,,101607.03,,,,,,,,,,,,,
2020-09-10,,94939.94,,,,,,,,,,,,,
2020-09-11,,104131.80,,,,,,,,,,,,,
2020-09-12,,103353.34,,,,,,,,,,,,,
2020-09-13,,103647.17,,,,,,,,,,,,,
2020-09-14,,138192.04,,,,,,,,,,,,,
2020-09-15,,207699.03,,,,,,,,,,,,,
2020-09-16,,165610.50,,,,,,,,,,,,,
2020-09-17,,114259.56,,,,,,,,,,,,,
2020-09-18,,120431.38,,,,,,,,,,,,,
2020-09-19,,106747.82,,,,,,,,,,,,,
2020-09-20,,113962.27,,,,,,,,,,,,,
2020-09-21,,110385.45,,,,,,,,,,,,,
2020-09-22,,111096.57,,,,,,,,,,,,,
2020-09-23,,115000.92,,,,,,,,,,,,,
2020-09-24,,118813.12,,,,,,,,,,,,,
2020-09-25,,121100.97,,,,,,,,,,,,,
2020-09-26,,120152.69,,,,,,,,,,,,,
2020-09-27,,120665.32,,,,,,,,,,,,,
2020-09-28,,121111.51,,,,,,,,,,,,,
2020-09-29,,122154.57,,,,,,,,,,,,,
2020-09-30,,124653.78,,,,,,,,,,,,,
2020-10-01,,122765.61,,,,,,,,,,,,,
2020-10-02,,117526.68,,,,,,,,,,,,,
2020-10-03,,117412.35,,,,,,,,,,,,,
2020-10-04,,116394.57,,,,,,,,,,,,,
2020-10-05,,122496.02,,,,,,,,,,,,,
2020-10-06,,124196.21,,,,,,,,,,,,,
2020-10-07,,123211.43,,,,,,,,,,,,,
2020-10-08,,124110.22,,,,,,,,,,,,,
2020-10-09,,127437.32,,,,,,,,,,,,,
2020-10-10,,129493.44,,,,,,,,,,,,,
2020-10-11,,133788.57,,,,,,,,,,,,,
2020-10-12,,133258.07,,,,,,,,,,,,,
2020-10-13,,136457.99,,,,,,,,,,,,,
2020-10-14,,141259.72,,,,,,,,,,,,,
2020-10-15,,146624.86,,,,,,,,,,,,,
2020-10-16,,150421.60,,,,,,,,,,,,,
2020-10-17,,156887.71,,,,,,,,,,,,,
2020-10-18,,148655.04,,,,,,,,,,,,,
