Date,Aave ($),Compound ($),BENQI ($),Venus ($),Radiant Capital ($),TrueFi ($),Maple Finance ($),Notional Finance ($),Goldfinch ($),BendDAO ($),Euler ($),Sonne Finance ($),Silo Finance ($),Morpho ($),Shoebill Finance ($)
2023-04-17,27958.28,53065.76,12931.40,8418.71,358500.13,9783.23,0.00,6428.77,25433.99,15706.73,670.63,38692.80,1099.76,0.00,
2023-04-18,9202.71,58216.36,9424.96,7435.52,386955.29,12956.55,0.00,15115.35,3721.38,25827.64,394.02,12127.12,1625.94,0.00,
2023-04-19,8089.85,21254.97,5858.71,4757.35,280183.98,8239.02,0.00,3219.57,1182.07,20048.03,583.60,20882.71,516.74,0.00,
2023-04-20,3761.00,8112.57,5759.87,5916.78,282968.90,6948.83,0.00,7449.82,185539.03,27531.70,0.00,10707.53,684.32,0.00,
2023-04-21,5092.74,38426.47,7053.68,7555.49,253469.90,6983.61,0.00,2228.31,7163.24,36516.97,0.01,12144.17,2225.62,0.00,
2023-04-22,7156.57,4205.60,4785.76,11582.92,265085.37,7540.93,0.00,109.95,11546.77,188018.09,0.00,6297.73,348.68,0.00,
2023-04-23,3306.72,17874.48,9342.72,5552.11,349119.69,8853.69,0.00,2181.00,19007.52,14125.92,0.00,27663.30,2071.15,0.00,
2023-04-24,57540.50,54927.59,7296.53,2851.72,193354.90,0.00,0.00,1181.53,24.36,3765.01,0.00,8895.19,683.50,0.00,
2023-04-25,15204.90,12392.14,4255.60,10836.17,259841.45,15282.10,0.00,4009.25,121161.25,11508.26,1422.59,10198.32,3168.76,0.00,
2023-04-26,2921.59,22256.54,8004.35,6229.50,231580.50,4699.66,0.00,14879.06,427.06,21018.53,0.00,11488.76,961.23,0.00,
2023-04-27,9675.24,80195.54,5280.73,3344.59,347834.92,8790.52,0.00,1056.44,3057.34,10630.72,75.99,7639.27,1519.05,0.00,
2023-04-28,3573.75,24958.68,7935.98,17733.68,360161.76,9700.95,0.00,1212.35,148.91,5718.51,0.00,6859.68,2418.74,0.00,
2023-04-29,7397.37,12647.35,9141.14,3806.19,257773.82,7668.14,0.00,1537.61,3599.71,12747.04,0.00,6969.38,759.40,0.00,
2023-04-30,3015.66,10931.72,6341.89,5070.79,302159.04,6581.19,0.00,0.00,10614.84,5179.09,0.00,9251.28,3893.66,0.00,
2023-05-01,8148.96,34614.49,9125.51,9249.39,269809.07,3732.44,0.00,631.88,10974.00,19437.06,927.07,7911.35,843.70,0.00,
2023-05-02,5212.29,32898.86,5675.63,3333.28,273498.44,10867.80,0.00,6222.83,1033.39,12079.00,0.00,8068.82,703.03,0.00,
2023-05-03,13436.14,19688.39,4287.46,6536.98,320274.29,5418.66,0.00,1721.68,5192.43,66897.65,0.00,9570.73,873.22,0.00,
2023-05-04,14467.41,19864.53,7733.48,6212.77,267650.93,9139.37,0.00,14831.46,2152.20,6241.42,0.00,8401.04,3119.19,0.00,
2023-05-05,4474.88,11143.93,7046.38,3453.97,252722.80,9641.47,0.00,0.00,2792.51,6314.04,0.00,6780.94,257.39,0.00,
2023-05-06,14668.33,38387.43,6160.18,4593.78,271447.73,3058.76,0.00,0.00,1666.72,6638.88,0.00,4975.57,992.27,0.00,
2023-05-07,20195.91,2005.19,10624.81,1878.71,188753.27,9373.14,0.00,9269.21,0.00,9924.71,0.00,5680.77,2589.21,0.00,
2023-05-08,5304.99,16457.62,11263.41,7526.74,295553.92,6330.73,0.00,4947.82,4087.65,3947.93,0.00,6162.38,3929.67,0.00,
2023-05-09,3642.38,20253.47,4893.28,5880.37,260550.72,2844.27,0.00,1121.63,382.31,16562.53,0.00,13987.55,1389.85,0.00,
2023-05-10,9380.21,15007.58,4150.24,5365.21,213935.57,7125.67,0.00,22023.05,865.70,39249.45,0.00,6056.70,2229.20,0.00,
2023-05-11,2219.75,86148.69,19962.94,7911.92,163680.02,5370.23,0.00,770.21,0.00,3874.90,0.00,3953.30,4130.97,0.00,
