Date,Aave ($),Compound ($),Venus ($),BENQI ($),Morpho ($),Spark Protocol ($),TrueFi ($),Radiant Capital ($),Goldfinch ($),Euler ($),Fraxlend ($),Sonne Finance ($),Maple Finance ($),Gearbox ($),Silo Finance ($),BendDAO ($),Shoebill Finance ($)
2022-03-01,6425080374.83,3662172777.86,795637039.44,1376631453.03,,,355213105.82,,78301395.40,33684587.41,,,,953244.36,,,
2022-03-02,6369520918.48,3648763244.57,949724786.11,1370046946.70,,,355228253.11,,78309561.42,33301281.04,,,,946444.87,,,
2022-03-03,6360244436.36,3669927104.01,947751729.77,1342381790.88,,,355126762.97,,73418598.95,35485874.81,,,,937401.94,,,
2022-03-04,6429167882.37,3737003167.76,916875865.64,1286340972.78,,,355154116.68,,73414928.02,35063956.83,,,,896252.90,,,
2022-03-05,6431778952.26,3753367565.19,923384179.63,1300351606.19,,,355154269.34,,73418598.95,35752028.99,,,,906421.87,,,
2022-03-06,6406124943.24,3769163859.04,911942689.51,1277454939.14,,,355158213.30,,73418598.95,35711430.00,,,,909700.28,,,
2022-03-07,6369867630.23,3796351502.79,909661443.33,1258382206.21,,,355151898.96,,73418333.91,36814693.05,,,,839875.51,,,
2022-03-08,6334669404.66,3823351223.57,917568769.72,1245910780.39,,,355127453.14,,73405236.77,32105197.68,,,,848461.16,,,
2022-03-09,6387134715.22,3849177938.58,817070242.95,1266478140.63,,,357803950.99,,72412949.59,32897514.56,,,,889142.12,,,
2022-03-10,6362711413.34,3836320127.20,692278210.30,1234998811.40,,,357834925.09,,72414471.10,32519058.42,,,,881278.80,,,
2022-03-11,6313369562.41,3805329843.23,713759637.88,1209695688.01,,,357794538.27,,72418512.06,32364618.03,,,,899164.31,,,
2022-03-12,6315233016.16,3782707183.46,724023576.66,1204010366.49,,,354400511.34,,72434174.74,32364372.98,,,,929951.60,,,
2022-03-13,6296176635.75,3762704862.86,715918903.51,1179927333.67,,,354381567.97,,72416965.91,32554806.45,,,,920981.20,,,
2022-03-14,6295427664.28,3742891471.24,750525903.01,1153323024.23,,,362068599.06,,72418598.95,35569974.21,,,,936360.33,,,
2022-03-15,6478046110.18,3704256423.06,756163000.17,1080401395.10,,,362167169.18,,72433234.75,36519072.60,,,,912101.51,,,
2022-03-16,6630864328.00,3699829936.76,784204742.55,1016731594.10,,,362136210.79,,72417296.87,38102173.75,,,,975086.44,,,
2022-03-17,6641898775.03,3685474533.25,796077630.36,1083104779.92,,,364177499.17,,72419213.79,39805720.67,,,,988636.79,,,
2022-03-18,6726018016.63,3683889810.13,814354676.43,1130730423.45,,,364138914.65,,72414003.27,40545409.71,,,,996651.22,,,
2022-03-19,6706067610.59,3702213617.66,822990933.20,1140228225.16,,,364065902.02,,72389008.71,42550092.13,,,,996989.44,,,
2022-03-20,6750755532.12,3859218156.92,821469242.47,1106411941.89,,,364115309.69,,82561352.73,40978473.32,,,,996204.94,,,
2022-03-21,6803485808.48,3851940208.37,814148872.72,1112290972.75,,,364065643.66,,82562957.04,45507597.04,,,,967974.61,,129923.32,
2022-03-22,6935178938.32,3852822708.70,841719339.13,1117975310.37,,,364125127.60,,82567872.35,62591052.24,,,,1019953.46,,200412.83,
2022-03-23,7050722786.12,3826798810.03,854699734.77,1135021910.94,,,365303992.12,,82563175.02,75211553.16,,,,1023904.14,,364076.37,
2022-03-24,7104410113.68,3814324434.15,866487188.18,1187003490.95,,,365320433.08,,82568502.35,87389561.45,,,,1051395.48,,769947.33,
2022-03-25,7123319653.11,3814597798.11,871353145.84,1156042519.76,,,365333379.45,,82568598.95,95677396.08,,,,1061928.42,,1187811.52,
2022-03-26,7178843658.44,3885840399.63,877583843.54,1157270162.39,,,350252719.25,,82567102.80,97745605.72,,,,1069106.94,,1601347.18,
2022-03-27,7294415747.26,3903470708.67,893280978.89,1183662417.66,,,350200647.95,,82565809.77,104836633.75,,,,1080741.56,,1924786.20,
2022-03-28,7541965401.91,3821003711.05,906136412.18,1180576415.27,,,350221535.55,,82568598.93,123455532.17,,,,1056660.18,,2005450.75,
2022-03-29,7709727470.64,3777114636.71,902056260.72,1166099795.10,,,350232536.25,,82568598.93,169396492.28,,,,1069501.16,,2466030.90,
2022-03-30,7837778586.43,3584719042.27,905459465.75,1152408769.91,,,350196640.64,,82561768.03,209706398.69,,,,1164455.86,,2662985.40,
2022-03-31,7914877994.69,3538830388.74,900081536.64,1107782006.73,,,350223391.97,,82567805.44,203548249.24,,,,1166160.67,,2363882.90,
