Date,dYdX ($),Synthetix ($),GMX ($),Level Finance ($),Vertex ($),Lyra ($),ApolloX ($),Pendle ($),HMX ($),Perpetual Protocol ($),Kwenta ($),Mummy Finance ($),IPOR Protocol ($),Premia ($),Thales ($),Metavault.Trade ($),MUX ($),Pika Protocol ($),Holdstation ($),Buffer Finance ($)
3/28/2022,305796.12,282029.79,44966.53,,,12089.29,94909.9,,,72143.61,,,,21771.26,1537.76,,172.68,,,
3/29/2022,4309258.98,2394097.32,14372.48,,,92776.46,68035.54,,,256630.49,,,,8913.81,4040.51,,6.25,,,
3/30/2022,507499.25,6583690.21,13778.14,,,34518.02,24589.05,,,12402.99,,,,1323.41,6948.29,,22.68,,,
3/31/2022,596622.67,398373.07,62819.07,,,36581.01,186927.39,,,3017.49,,,,2949.52,876.02,,13.1,,,
4/1/2022,88862.26,1719567.92,20286.79,,,66318.25,31559.9,,,167.79,,,,2484.12,7643.37,,0,,,
4/2/2022,471826.93,204447.35,390525.43,,,32304.64,63138.48,,,11.97,,,,46689.02,235.52,,0,,,
4/3/2022,70215.18,136749.4,39205.42,,,53162.17,162010.34,,,50.78,,,,7524.36,785.67,,0,,,
4/4/2022,187602.03,270570.32,16705.68,,,463094.17,28334.68,,,55367.25,,,,13605.24,535.62,,0,,,
4/5/2022,22286.85,81642.4,28174.69,,,113756.99,4976.71,,,16326.56,,,,7711.4,433.68,,0,,,
4/6/2022,383591.03,1667195.46,14724.74,,,71794.16,73030.68,,,265210.54,,,,7751.8,11329.32,,0,,,
4/7/2022,171804.63,814589.67,20663.27,,,59842.16,55376.84,,,13988.48,,,,419.69,1280.07,,0,,,
4/8/2022,19137.08,1230361,11819.79,,,16040.88,46500.61,,,0,,,,6867.03,9239.89,,115.77,,,
4/9/2022,64980.19,182927.73,137167.02,,,23543.78,22110.1,,,138.08,,,,11597.45,1272.54,,0.39,,,
4/10/2022,38110.48,25037.94,13225.22,,,14221.83,33392.75,,,116.62,,,,1606.6,757.43,,0,,,
4/11/2022,29659.22,130024.05,27866.35,,,18094.69,38968.85,,,262043,,,,1059.81,5813.44,,0,,,
4/12/2022,173879.83,1231753.1,10779.99,,,206377.11,31992.68,,,6462.51,,,,1940.35,1699.75,,0,,,
4/13/2022,69466.28,5104413.27,62330.59,,,31569.21,66198.35,,,623.41,,,,2655.37,11518.48,,0,,,
4/14/2022,47278.48,3514292.16,22397.65,,,4433.63,38586.16,,,1794.41,,,,3540.04,2473.38,,0,,,
4/15/2022,9499.43,121045.48,29529.31,,,19498.98,3264.12,,,12.4,,,,991.93,516.04,,0,,,
4/16/2022,90496.32,66317.6,8375.62,,,8996.07,61516.5,,,45.59,,,,2576.34,1361.05,,0,,,
4/17/2022,25591.83,25756.99,24816.9,,,5197.69,115065.56,,,12.33,,,,3598.3,757.22,,0,,,
4/18/2022,63416.26,25082.34,33286.18,,,13397.17,26377.41,,,251863.86,,,,574.72,1766.74,,53.92,,,
4/19/2022,88394.13,227632.68,37795.72,,,36711.19,19638.94,,,1378.98,,,,2969.48,118.31,,0,,,
4/20/2022,11338841.98,8679667.94,32336.18,,,98411.46,60125.59,,,2106.79,,,,1377.75,7572.91,,0,,,
4/21/2022,2733608.07,1515424.94,197411.08,,,36469.43,4524.52,,,7878.16,,,,5703.01,961.3,,0,,,
